,Entidad Aseguradora,,,Importe Nominal Asegurado,,,,
,,,Bonos Serie A1,,Bonos Serie A2,Bonos Serie B,Bonos Serie C,
Barclays Bank PLC,
actuando a través de su
división de banca de
inversión Barclays Capital,,,308.000.000 €,,1.018.450.000 €,22.400.000 €,21.150.000 €,
Caixa d'Estalvis i Pensions
de Barcelona,,,-,,10.000.000 €,-,-,
Caixa d´Estalvis de
Catalunya,,,-,,10.000.000 €,-,-,
Fortis Bank NV-SA,,,,,10.000.000 €,,,
TOTAL,,,308.000.000 €,,1.048.450.000 €,22.400.000 €,21.150.000 €,
