Ingresos de los
adquirientes (nº
veces el IPREM),Cuantías generales,Jóvenes, menores
de 35 años,Familias numerosas,
monoparentales y
personas
dependientes o con
discapacidad y sus
familias,Mujeres víctimas de
la violencia de
género, víctimas del
terrorismo y
personas separadas
o divorciadas
≤ 2,5,8.000 euros,9.000 euros,12.000 euros,11.000 euros
> 2,5 ≤ 3,5,7.000 euros,8.000 euros,10.000 euros,9.000 euros
> 3,5 ≤ 4,5,5.000 euros,6.000 euros,8.000 euros,7.000 euros
NOTA: la ayuda se incrementará cuando la vivienda estuviera situada en un grupo de ámbito territorial declarado de precio
máximo superior en las siguientes cuantías: 1.200 euros para el grupo A, 600 euros para el grupo B y 300 euros para el grupo
C.,,,,
