,Euros
Gastos de Constitución,
Tasas CNMV,51.997,55
Tasas AIAF,64.900,00
Tasas SOCIEDAD DE SISTEMAS,1.180,00
Dotación para Gastos Iniciales (Comisión Inicial de la Sociedad Gestora,
asesores legales y auditores, gastos notariales, publicaciones y otros),698.054,00
Agencias de Rating,348.100,00
TOTAL,1.164.231,55
